m,n_clusters,Algorithm,Avg_Silhouette_2D,Avg_Silhouette_3D,Avg_WCSS_2D,Avg_Davies_Bouldin_2D,Avg_Partition_Coefficient_2D,Avg_Xie_Beni_2D,Avg_Time
1.5,3,rseKFCM,0.42367951329077885,0.3236215555207903,158.2168407978648,0.8414380148363113,0.8061146347233932,0.4996029422649755,0.46618268489837644
1.5,3,spKFCM,0.45238772532893073,0.33321515512560584,151.3139814541183,0.7484653324800478,0.8297537664664725,0.4490338826351198,1.0254820108413696
1.5,3,oKFCM,0.44729047463204863,0.33851701685190433,150.65662674914196,0.7619860555596414,0.8240147438822671,0.4607165518844327,1.2609264373779296
1.5,3,FCM,0.4665847441900014,0.35341070929747265,142.7165207994432,0.716482156943549,0.8715579017407387,0.37624149363713694,0.027775851885477702
1.5,3,KFCM,0.46152883063764827,0.35336029255929585,147.3570093791719,0.7355555658702025,0.8251231109166182,0.4212045807905184,0.022747079531351726
1.5,3,MKFCM,0.4591110954056243,0.35455475155467314,147.37451340260776,0.7501285798302032,0.8234542694198623,0.42236942088537904,0.024092539151509603
1.5,3,GK-FCM,0.2973342625849192,0.27343973638366753,207.63597230311632,1.1778025649919506,0.8817809651491518,0.787674950754985,0.09016263484954834
1.5,3,K-Means,0.4665847441900014,0.357793388710272,157.70400815035944,0.716482156943549,1.0,0.3874725525572346,0.044599366188049314
1.5,3,ImprovedGathGeva,0.33386377815168256,0.20270150818514582,242.19567793301738,1.4523355085019107,0.9945196468676296,1.1919903450548197,0.03898526032765706
1.5,3,IFCM,0.4665847441900014,0.3537227482871331,142.71652080927188,0.716482156943549,0.8715578813000351,0.37624167095985683,0.15920323530832928
1.5,5,rseKFCM,0.5200320937058048,0.3800426967921516,73.8154753894373,0.6251847426258134,0.8377391217152036,0.2647725715186083,1.3620812098185222
1.5,5,spKFCM,0.5368401166574098,0.3878802802607574,69.90209166240653,0.6004685170245855,0.8703842872180273,0.23169081313462733,4.841572833061218
1.5,5,oKFCM,0.5312335993903335,0.39646202208539183,71.41094355570102,0.6089413015620061,0.8649260611183424,0.24417102175529662,5.4531114339828495
1.5,5,FCM,0.5456673319318974,0.41312491302013843,64.03472997493422,0.592613113740559,0.9103527352815426,0.20783225227550042,0.026516064008076986
1.5,5,KFCM,0.5507618312654856,0.4071694611271325,64.97966883707387,0.577699857183594,0.8829935895831548,0.2096738814691101,0.036629851659139
1.5,5,MKFCM,0.5441575763086547,0.403820455219952,65.66617025741586,0.5927767732202146,0.8863983572364346,0.2192452276080658,0.04312134583791097
1.5,5,GK-FCM,0.4117941221194646,0.3083455366837835,89.36884101512827,0.7872403651501668,0.8929298543805114,0.5581929149681295,0.11169995466868082
1.5,5,K-Means,0.5546571631111091,0.41664341513732767,65.5684081557168,0.5722356162263352,1.0,0.20911764938025768,0.042154574394226076
1.5,5,ImprovedGathGeva,0.3886368621087564,0.247079434272733,139.04018599481898,1.0788479186023843,0.9949811011198999,0.7927008451034566,0.0469836950302124
1.5,5,IFCM,0.5457165917374726,0.4134181215299042,63.968846550908076,0.5914289953960645,0.9101108130771146,0.2075834505562737,0.3543619394302368
2.0,3,rseKFCM,0.42032605284575286,0.3281982464498089,110.29809500549443,0.8448533796953234,0.6361844388528833,0.38105080004664577,0.17145103613535564
2.0,3,spKFCM,0.4455228634511183,0.34023009076893307,106.70571779498393,0.7766836692511283,0.6511437834410237,0.34663355058744927,0.8478481690088908
2.0,3,oKFCM,0.44061137334688605,0.3347404558660222,107.16112709498053,0.7862090041236011,0.6506243807069236,0.3598766516733215,0.6596376180648804
2.0,3,FCM,0.4641152413572859,0.3501490299828196,101.09397580323801,0.723047482551229,0.6802546956195116,0.2939990365429198,0.02547311782836914
2.0,3,KFCM,0.45617908485696146,0.3473399599022175,103.96743742482633,0.7566042953967221,0.624228312217777,0.33196721636005583,0.033568406105041505
2.0,3,MKFCM,0.45108342211051977,0.3471684114011916,104.93177071771035,0.7806516489037876,0.6152904909363304,0.34095841043525077,0.03499999046325684
2.0,3,GK-FCM,0.2692762262706576,0.2838076789925698,153.03642902421612,1.2857779091251966,0.6748963545262138,0.6481815176045552,0.10592211882273356
2.0,3,K-Means,0.4665847441900014,0.357793388710272,157.70400815035944,0.716482156943549,1.0,0.3874725525572346,0.04046171506245931
2.0,3,ImprovedGathGeva,0.32462276988061123,0.228644817611228,237.79789254100652,1.5284395676583968,0.9743498254427099,1.2138332535638305,0.031242990493774415
2.0,3,IFCM,0.4641152413572859,0.3498232803676634,101.09397581180744,0.723047482551229,0.6802533920028765,0.2939990511440088,0.276740574836731
2.0,5,rseKFCM,0.5022036025097606,0.3681144821811635,52.14616057099793,0.6696494036384434,0.5919498827328795,0.20203092704370634,0.933534836769104
2.0,5,spKFCM,0.5404442115165199,0.38565247733621094,48.22253616963745,0.5909439562832254,0.6134269681814941,0.1679051367647611,3.707256070772807
2.0,5,oKFCM,0.5179158908495153,0.38999617252547797,50.515063942899694,0.6360473049986708,0.6080559183835603,0.19054160085934202,3.7806719303131104
2.0,5,FCM,0.5546571631111091,0.38211417089662286,43.46435697864042,0.5722356162263352,0.6711218063502055,0.13747823460217598,0.035107994079589845
2.0,5,KFCM,0.5510530143797532,0.3732313437643468,45.102804707423196,0.5722639512562221,0.6170290403813186,0.14757429232932565,0.08407742182413737
2.0,5,MKFCM,0.5510530143797532,0.38183661028430366,45.444856765425804,0.5722639512562221,0.6099297337017185,0.14964452230064001,0.07812963326772054
